;אזור ישוב שטח;ארגון בטחון בלתי;בנק כסף תאגיד;דירה חוב דיור;זהום סביבה איכות;זוג הטבה תרומה;חולה מחלה תרופה;חיל מלוא חפשה;חקירה פלילי כתב;חשמל ספורט אנרגיה;יהודי פרסום חפש;יצוג הולם נציג;מבקר בקרת פנימי;מוצר צרכן מים;מעסיק העסקה קבלן;מפלגה התרבות עם;נהג הרכב רכב;נשיא כהנה שוטר;ענש עברה עבירות;עקרון אמנה יסוד;פטור מועד בטחון;פסק הסכם נשואין;פקוח מנהל הקים;קטין אלימות תופעה;קצבה גמלה פנסיה;קרקע תכנון בניה;שדור ערוץ אגרה;שפה עולה ארץ;תביעה אחריות נזק;תלמיד לימודים השכלה
K17_f_75087;0.0012048193;0.013253012000000002;0.6879518072;0.16987951810000002;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.013253012000000002;0.0012048193;0.0012048193;0.061445783100000005;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0253012048
K17_f_75301;0.0033333333;0.17;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.27;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.07;0.0033333333;0.0033333333;0.10333333330000001;0.0033333333;0.0033333333;0.0033333333;0.2033333333;0.0033333333
K17_f_87972;0.0007751938;0.1093023256;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.1093023256;0.0007751938;0.17131782950000002;0.0007751938;0.1790697674;0.0007751938;0.0162790698;0.0007751938;0.0007751938;0.0007751938;0.0937984496;0.0007751938;0.0007751938;0.2100775194;0.0085271318;0.0007751938;0.0317829457;0.0007751938;0.0007751938;0.0550387597;0.0007751938
K17_f_88060;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.1;0.0032258065;0.0677419355;0.035483871;0.0032258065;0.0032258065;0.035483871;0.0032258065;0.0677419355;0.0032258065;0.3258064516;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0677419355;0.0032258065;0.0032258065;0.0677419355;0.0032258065;0.0032258065;0.0032258065;0.164516129
K17_f_88708;8.488960000000001e-05;0.0077249576;8.488960000000001e-05;8.488960000000001e-05;0.0051782683;8.488960000000001e-05;0.0153650255;0.0060271647000000005;0.0043293718000000005;8.488960000000001e-05;0.0009337861000000001;0.044227504200000003;0.6554329372000001;8.488960000000001e-05;8.488960000000001e-05;8.488960000000001e-05;0.0017826825;8.488960000000001e-05;8.488960000000001e-05;0.0518675722;0.0306451613;8.488960000000001e-05;0.067147708;8.488960000000001e-05;8.488960000000001e-05;0.006876061100000001;8.488960000000001e-05;8.488960000000001e-05;0.1011035654;8.488960000000001e-05
K17_f_93813;0.000625;0.006875;0.000625;0.000625;0.019375;0.000625;0.000625;0.000625;0.306875;0.006875;0.000625;0.18187499999999998;0.000625;0.000625;0.000625;0.119375;0.000625;0.000625;0.063125;0.000625;0.000625;0.000625;0.000625;0.006875;0.000625;0.000625;0.000625;0.000625;0.269375;0.006875
K17_f_96028;0.1707692308;0.0630769231;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.6169230769;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0630769231;0.0015384615;0.0015384615
K17_f_98122;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.641745283;0.0002358491;0.0002358491;0.0002358491;0.0049528302;0.023820754700000002;0.0002358491;0.0143867925;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.016745283;0.0002358491;0.052122641500000004;0.0450471698;0.0002358491;0.0002358491;0.0686320755;0.0143867925;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.1134433962;0.0002358491
K17_f_129939;0.0041666667;0.8791666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667
K17_f_130244;0.048837209300000003;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.18837209300000002;0.0023255814;0.0255813953;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.18837209300000002;0.0023255814;0.0023255814;0.0023255814;0.0255813953;0.0023255814;0.3744186047;0.0023255814;0.0255813953;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0720930233;0.0023255814
K17_f_130246;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.1;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.2818181818;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.3727272727;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091;0.0090909091
K17_f_130247;0.002173913;0.002173913;0.0239130435;0.197826087;0.0239130435;0.0673913043;0.1760869565;0.0456521739;0.002173913;0.0239130435;0.0239130435;0.002173913;0.002173913;0.002173913;0.002173913;0.002173913;0.002173913;0.002173913;0.2847826087;0.002173913;0.002173913;0.002173913;0.002173913;0.002173913;0.0891304348;0.002173913;0.002173913;0.002173913;0.002173913;0.002173913
K17_f_130248;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.1372881356;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.1711864407;0.1203389831;0.0016949153;0.0016949153;0.3237288136;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.2050847458;0.0016949153
K17_f_130249;0.0037037037000000003;0.3740740741;0.0407407407;0.0037037037000000003;0.0037037037000000003;0.1518518519;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.262962963;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0777777778;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003;0.0037037037000000003
K17_f_130250;0.0030303030000000002;0.033333333300000004;0.0030303030000000002;0.0636363636;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0636363636;0.033333333300000004;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.1545454545;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.1242424242;0.0636363636;0.0030303030000000002;0.0030303030000000002;0.2151515152;0.0030303030000000002;0.0030303030000000002;0.0939393939;0.0636363636;0.033333333300000004;0.0030303030000000002
K17_f_130251;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.3060606061;0.0030303030000000002;0.0939393939;0.0030303030000000002;0.1242424242;0.0030303030000000002;0.0030303030000000002;0.0636363636;0.033333333300000004;0.0939393939;0.033333333300000004;0.0636363636;0.0030303030000000002;0.033333333300000004;0.0030303030000000002;0.0030303030000000002;0.0939393939;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002
K17_f_130252;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0314285714;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0314285714;0.1742857143;0.0028571429;0.0885714286;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.5742857143;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0314285714;0.0028571429
K17_f_130253;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.4671232877;0.001369863;0.1246575342;0.001369863;0.001369863;0.001369863;0.001369863;0.1383561644;0.0835616438;0.0424657534;0.0835616438;0.001369863;0.0150684932;0.001369863;0.001369863;0.0150684932;0.001369863;0.001369863;0.001369863;0.001369863
K17_f_130254;0.0058823529;0.0058823529;0.0647058824;0.0058823529;0.47647058820000004;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0647058824;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.1823529412;0.0647058824;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529;0.0058823529
K17_f_130255;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.013414634100000001;0.0012195122000000001;0.0012195122000000001;0.013414634100000001;0.0012195122000000001;0.1963414634;0.037804878;0.24512195120000002;0.013414634100000001;0.2817073171;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0865853659;0.0012195122000000001;0.05;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.025609756100000002;0.0012195122000000001;0.013414634100000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001
K17_f_130256;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.1476190476;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.1476190476;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.5761904762;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048
K17_f_130259;0.075;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.7892857143;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0392857143;0.0035714286;0.0035714286;0.0035714286
K17_f_130260;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.061111111100000004;0.0055555556;0.061111111100000004;0.2833333333;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.0055555556;0.1166666667;0.061111111100000004;0.0055555556;0.0055555556;0.2833333333;0.0055555556;0.0055555556
K17_f_130261;0.0013513514000000001;0.15;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0148648649;0.2986486486;0.0148648649;0.0013513514000000001;0.0283783784;0.0013513514000000001;0.0148648649;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0148648649;0.3797297297;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0554054054;0.0013513514000000001
K17_f_130264;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.3662162162;0.0013513514000000001;0.0013513514000000001;0.0283783784;0.0013513514000000001;0.0283783784;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.3662162162;0.0554054054;0.0013513514000000001;0.10945945950000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0148648649;0.0013513514000000001
K17_f_130265;0.0006578947;0.42828947370000003;0.0006578947;0.0335526316;0.0006578947;0.0006578947;0.0006578947;0.0730263158;0.0006578947;0.0006578947;0.0006578947;0.0006578947;0.0203947368;0.0006578947;0.0006578947;0.0072368421;0.0006578947;0.1914473684;0.0335526316;0.0072368421;0.0006578947;0.0006578947;0.0006578947;0.11907894740000001;0.0006578947;0.0006578947;0.0006578947;0.0006578947;0.0730263158;0.0006578947
K17_f_130266;0.0012195122000000001;0.0012195122000000001;0.025609756100000002;0.1475609756;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.037804878;0.1109756098;0.0012195122000000001;0.0865853659;0.025609756100000002;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.013414634100000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.062195122000000005;0.0012195122000000001;0.1963414634;0.0012195122000000001;0.0012195122000000001;0.2207317073;0.0012195122000000001;0.05
K17_f_130267;0.17500000000000002;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.09166666670000001;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.3416666667;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.17500000000000002;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333;0.0083333333
K17_f_130268;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.3742857143;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.06;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.1171428571;0.3171428571;0.0028571429;0.0028571429;0.06;0.0028571429;0.0028571429;0.0028571429;0.0028571429;0.0028571429
K17_f_130269;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.0733333333;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.4066666667;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.0733333333;0.2066666667;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.0733333333;0.006666666700000001;0.006666666700000001
K17_f_130271;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.014102564100000001;0.0012820513;0.0525641026;0.0012820513;0.10384615380000001;0.014102564100000001;0.10384615380000001;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.014102564100000001;0.0012820513;0.24487179490000002;0.0653846154;0.0012820513;0.0012820513;0.3602564103;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.0012820513;0.0012820513
K17_f_130272;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.1731707317;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.4414634146;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.07560975610000001;0.1;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.1;0.0024390244000000003
K17_f_130273;0.0671052632;0.2776315789;0.0013157895;0.0013157895;0.0013157895;0.0407894737;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0407894737;0.0539473684;0.0013157895;0.0013157895;0.0539473684;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.4223684211;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0144736842
K17_f_130274;0.0026315789;0.0026315789;0.0026315789;0.0289473684;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.3447368421;0.0026315789;0.0026315789;0.0026315789;0.0289473684;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.3710526316;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.0026315789;0.055263157900000005;0.0026315789;0.0026315789;0.1078947368;0.0026315789
K17_f_130275;0.0038461538;0.042307692300000005;0.0038461538;0.08076923080000001;0.0038461538;0.5423076923;0.0038461538;0.0038461538;0.0038461538;0.2346153846;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538;0.0038461538
K17_f_130276;0.0015624999999999999;0.25156249999999997;0.0953125;0.0015624999999999999;0.0015624999999999999;0.1265625;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.1890625;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.1109375;0.017187499999999998;0.0015624999999999999;0.0796875;0.048437499999999994;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.0015624999999999999;0.048437499999999994;0.0015624999999999999
K17_f_130277;0.0010526316;0.0010526316;0.0010526316;0.0010526316;0.0010526316;0.0010526316;0.043157894700000005;0.0010526316;0.0010526316;0.0536842105;0.1378947368;0.0010526316;0.0010526316;0.011578947400000001;0.0010526316;0.0326315789;0.0010526316;0.2852631579;0.0010526316;0.0221052632;0.0010526316;0.18;0.1484210526;0.0010526316;0.0010526316;0.0010526316;0.0010526316;0.0010526316;0.0642105263;0.0010526316
K17_f_130278;0.0022727273;0.0022727273;0.0022727273;0.047727272700000004;0.0022727273;0.2977272727;0.0022727273;0.0022727273;0.1613636364;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.1840909091;0.0022727273;0.0022727273;0.0022727273;0.025;0.1840909091;0.0022727273;0.0022727273;0.047727272700000004;0.0022727273;0.0022727273;0.0022727273
K17_f_130279;0.0013157895;0.3302631579;0.0013157895;0.0013157895;0.0013157895;0.0671052632;0.0013157895;0.0013157895;0.0539473684;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0144736842;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.4486842105;0.0013157895;0.0013157895;0.0013157895;0.0013157895;0.0539473684;0.0013157895
K17_f_130280;0.0355932203;0.0016949153;0.0355932203;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0694915254;0.0016949153;0.1881355932;0.0016949153;0.0016949153;0.1711864407;0.0016949153;0.0016949153;0.0016949153;0.086440678;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.3237288136;0.0016949153;0.0186440678;0.0016949153;0.0016949153;0.0016949153;0.0355932203;0.0016949153
K17_f_130282;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.6433962264;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0396226415;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.13396226420000001;0.0018867925000000002;0.1150943396;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002
K17_f_130283;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0442857143;0.0014285714000000001;0.0014285714000000001;0.33;0.0014285714000000001;0.2728571429;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.03;0.0014285714000000001;0.0014285714000000001;0.0157142857;0.0014285714000000001;0.1585714286;0.0585714286;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.03;0.0014285714000000001;0.0014285714000000001;0.03;0.0014285714000000001
K17_f_130284;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0607843137;0.1588235294;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.2960784314;0.0215686275;0.0019607843000000002;0.0019607843000000002;0.0019607843000000002;0.4137254902;0.0019607843000000002
K17_f_130285;0.0015873016000000002;0.033333333300000004;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.080952381;0.319047619;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.4301587302;0.06507936510000001;0.0015873016000000002;0.0174603175;0.0174603175;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002
K17_f_130286;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.3682926829;0.0024390244000000003;0.07560975610000001;0.4658536585;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003
K17_f_130287;0.0041666667;0.08750000000000001;0.0041666667;0.0041666667;0.0458333333;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.21250000000000002;0.1708333333;0.3375;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0458333333;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667
K17_f_130288;0.0007936508000000001;0.11190476190000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0484126984;0.0166666667;0.0007936508000000001;0.0325396825;0.0007936508000000001;0.1674603175;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0007936508000000001;0.0166666667;0.0007936508000000001;0.0007936508000000001;0.469047619;0.0007936508000000001;0.0007936508000000001;0.0087301587;0.0007936508000000001;0.11190476190000001;0.0007936508000000001
K17_f_130289;0.0031249999999999997;0.221875;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.034374999999999996;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.065625;0.284375;0.0031249999999999997;0.0031249999999999997;0.034374999999999996;0.159375;0.0031249999999999997;0.034374999999999996;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.0031249999999999997;0.09687499999999999
K17_f_130290;0.0025;0.052500000000000005;0.052500000000000005;0.0025;0.0025;0.2025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.052500000000000005;0.0025;0.0025;0.2275;0.0025;0.0025;0.0025;0.0025;0.2275;0.052500000000000005;0.0025;0.0025;0.0025;0.0775;0.0025
K17_f_130291;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.1366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.7366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333
K17_f_130292;0.0012048193;0.013253012000000002;0.0012048193;0.013253012000000002;0.0012048193;0.0012048193;0.0253012048;0.0012048193;0.0012048193;0.0012048193;0.049397590400000004;0.0012048193;0.3746987952;0.0012048193;0.07349397590000001;0.0012048193;0.1096385542;0.0012048193;0.0012048193;0.12168674700000001;0.0012048193;0.0012048193;0.049397590400000004;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.1457831325;0.0012048193
K17_f_130294;0.0282758621;0.0006896552;0.0006896552;0.0006896552;0.007586206900000001;0.0006896552;0.0006896552;0.0006896552;0.2489655172;0.0006896552;0.0006896552;0.0006896552;0.007586206900000001;0.0006896552;0.0006896552;0.0006896552;0.0006896552;0.0006896552;0.0006896552;0.1248275862;0.0006896552;0.0282758621;0.0972413793;0.16620689660000001;0.0213793103;0.0006896552;0.0006896552;0.0006896552;0.255862069;0.0006896552
K17_f_130295;0.0015873016000000002;0.0015873016000000002;0.1920634921;0.2714285714;0.0174603175;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.1285714286;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.0015873016000000002;0.033333333300000004;0.319047619;0.0015873016000000002
K17_f_130296;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0015384615;0.0323076923;0.0015384615;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0015384615;0.0015384615;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0323076923;0.5861538462;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.2169230769;0.0323076923
K17_f_130297;0.0012195122000000001;0.025609756100000002;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.0012195122000000001;0.025609756100000002;0.0012195122000000001;0.0012195122000000001;0.1719512195;0.0012195122000000001;0.0012195122000000001;0.0987804878;0.0012195122000000001;0.0012195122000000001;0.062195122000000005;0.062195122000000005;0.3182926829;0.0012195122000000001;0.013414634100000001;0.0012195122000000001;0.025609756100000002;0.0012195122000000001;0.0987804878;0.0012195122000000001;0.0012195122000000001;0.025609756100000002;0.0012195122000000001;0.05;0.0012195122000000001
K17_f_130298;0.0023809524;0.0023809524;0.0023809524;0.05;0.0023809524;0.0023809524;0.0023809524;0.0023809524;0.0261904762;0.0023809524;0.0261904762;0.0023809524;0.0023809524;0.0023809524;0.0023809524;0.0023809524;0.24047619050000002;0.0023809524;0.0261904762;0.0738095238;0.0023809524;0.0023809524;0.0023809524;0.0023809524;0.3357142857;0.0023809524;0.0023809524;0.0023809524;0.169047619;0.0023809524
