;אזור ישוב תושב;בחירה מפלגה תעודה;בטחון ארגון אסיר;בניה תכנון תוכנית;גמלה קצבה הקצבה;דיור סיוע רכישה;דמי עבד פטור;חולה מחלה רופא;חיל סטודנט פטור;יסוד עקרון כבוד;כניסה זר שהה;מבקר פנימי בקרת;מדיניות אחריות פקוח;מוצר מזון פסלת;מנוי יצוג נציג;נהג תחבורה רכב;נסוי הגדרה פקוח;נשואין זוג גרושין;סביבה חשמל זהום;ענש עברה אסור;צרכן חוב בנק;קטין נער קשה;שדור פרסום תקשרת;שם דיון דעה;שפה יהודי ארץ;תביעה חקירה משפטי;תופעה נמוך אחרון;תלמיד ספר גיל;תעשיה מכרז מפעל;תקציב קרן אוצר
K18_f_427879;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.6014285714000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.03;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0157142857;0.0157142857;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001;0.0442857143;0.0014285714000000001;0.2585714286;0.0014285714000000001;0.0014285714000000001;0.0014285714000000001
K18_f_427881;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.5013513514;0.0013513514000000001;0.20405405410000002;0.0013513514000000001;0.0013513514000000001;0.0554054054;0.0148648649;0.0013513514000000001;0.0148648649;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0824324324;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0148648649;0.0013513514000000001;0.0013513514000000001;0.0554054054;0.0013513514000000001;0.0013513514000000001;0.0013513514000000001;0.0283783784;0.0013513514000000001;0.0013513514000000001
K18_f_427885;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.7775862069;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0362068966;0.0017241379;0.0017241379;0.0189655172;0.0017241379;0.0017241379;0.0362068966;0.0189655172;0.0017241379;0.0706896552;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379
K18_f_427886;0.0006329114;0.0006329114;0.0069620253;0.11455696200000001;0.0006329114;0.0006329114;0.0006329114;0.5575949367;0.0006329114;0.0006329114;0.0006329114;0.0006329114;0.0765822785;0.0006329114;0.0006329114;0.0006329114;0.0006329114;0.0006329114;0.0006329114;0.0069620253;0.0006329114;0.0006329114;0.0006329114;0.0955696203;0.0132911392;0.0006329114;0.10189873420000001;0.0006329114;0.0006329114;0.0132911392
K18_f_427890;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.2244444444;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0244444444;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.0244444444;0.0022222222;0.0022222222;0.0022222222;0.0022222222;0.6466666667000001;0.0022222222;0.0022222222;0.0022222222;0.0244444444;0.0022222222
K18_f_427893;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.1905660377;0.0018867925000000002;0.0018867925000000002;0.0962264151;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.6245283019;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002
K18_f_427896;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.3226415094;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.1905660377;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.3981132075;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.020754717000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002
K18_f_427951;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0016949153;0.0186440678;0.0016949153;0.0016949153;0.0355932203;0.0016949153;0.0016949153;0.0186440678;0.0186440678;0.5440677966;0.0186440678;0.0016949153;0.30677966100000004;0.0016949153;0.0016949153
K18_f_428015;0.0014084507000000001;0.0014084507000000001;0.0295774648;0.0014084507000000001;0.0014084507000000001;0.0577464789;0.0014084507000000001;0.08591549300000001;0.0014084507000000001;0.0577464789;0.0014084507000000001;0.0014084507000000001;0.0014084507000000001;0.08591549300000001;0.2267605634;0.0014084507000000001;0.0014084507000000001;0.0154929577;0.0014084507000000001;0.2126760563;0.0014084507000000001;0.0014084507000000001;0.0014084507000000001;0.1422535211;0.0577464789;0.0014084507000000001;0.0014084507000000001;0.0014084507000000001;0.0014084507000000001;0.0014084507000000001
K18_f_428044;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.0013333333;0.1746666667;0.0013333333;0.0013333333;0.0013333333;0.068;0.028;0.068;0.0013333333;0.0013333333;0.0013333333;0.4546666667;0.0013333333;0.0146666667;0.0013333333;0.108;0.0013333333;0.0013333333;0.054666666700000005;0.0013333333;0.0013333333;0.0013333333
K18_f_428052;0.0015384615;0.1707692308;0.0015384615;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.20153846150000002;0.0015384615;0.38615384620000004;0.0323076923;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.1553846154;0.0015384615;0.0015384615;0.0015384615
K18_f_428055;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0362068966;0.0017241379;0.6913793103;0.0189655172;0.0017241379;0.0534482759;0.0189655172;0.0017241379;0.0017241379;0.0017241379;0.0189655172;0.0017241379;0.0017241379;0.0017241379;0.0017241379;0.0706896552;0.0017241379;0.0534482759
K18_f_428057;0.001369863;0.001369863;0.001369863;0.001369863;0.1931506849;0.001369863;0.2753424658;0.2205479452;0.001369863;0.001369863;0.001369863;0.0150684932;0.001369863;0.001369863;0.001369863;0.1794520548;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.001369863;0.0698630137;0.001369863;0.001369863;0.001369863;0.001369863;0.0150684932;0.001369863
